uni_id,uni,scholarship16,scholarship17,scholarship18,scholarship19,paidfees16,paidfees17,paidfees18,paidfees19,intstuds16,intstuds17,intstuds18,intstuds19
3701,Bologna,431.5559438762399,547.3979343631802,447.6600814868841,533.3213251809334,1512.33,1558.66,1512.56,1732.9,6.541347586986689,6.992855596449448,7.822992379467317,8.57125031195408
3801,Ferrara,265.207476635514,357.4880133684684,296.0660797739376,393.3253593227013,1146.17,1121.86,1569.72,1501.85,5.272317112471802,5.501638922809949,5.575480925986306,5.17818468202402
4101,Urbino,403.48695401470377,340.14397361439734,542.8472251679038,539.5842633536885,1339.94,1360.61,1384.93,1356.78,6.703185815193888,6.453000645300064,6.369741958289148,6.120586790201446
4201,Marche,195.70584469624225,241.0989943842236,321.7190974278008,292.5696388111422,1076.14,1053.64,1072.31,1056.09,4.28269637027079,4.362021679508946,4.552332083415565,4.631480741036919
4301,Macerata,352.769030448718,251.83047020712672,351.1945080091533,455.62153424120703,883.83,895.76,929.83,967.24,4.236778846153846,4.466476882300972,4.32792756939608,4.408739100617224
4302,Camerino,536.6864564007421,395.5397694524496,390.0574882075472,450.4978044496487,1073.64,383.33,0.0,0.0,8.611626468769327,8.87608069164265,9.83195754716981,9.587236533957846
4801,Firenze,315.576761919892,261.51961072274764,297.1459705933497,293.5488342419673,976.19,1001.37,1070.25,1077.89,7.075481065194511,7.231392821476826,7.37291574086597,7.702122723581951
5001,Pisa,433.4594786624628,348.00161443704803,434.8990475760585,397.0204449653991,1161.2,1112.58,1184.6,1248.64,3.5192504107642435,3.810513744830484,3.93834070596732,4.052926988706806
5201,Siena,695.0580628475366,563.071645651471,671.4017664252128,652.6158556030359,1613.86,1637.2,1563.98,1566.47,6.375274796327428,7.888781118655028,8.959207014868472,8.948274762421073
5202,Siena Stranieri,1142.541615667075,940.0711630377058,1168.250603573153,1156.4194895591647,1760.5,1740.09,1674.93,1483.24,13.157894736842104,12.05523101433882,11.78174794785128,11.368909512761022
5401,Perugia,474.70190923026894,564.2631716564257,601.6621262892206,652.741932737335,1155.75,1154.59,1235.76,1201.37,5.4303897431133,5.46476663616159,5.774837895469776,5.934440187313751
5403,Perugia Stranieri,1329.9047085201794,1624.922814982974,1521.0898395721924,1333.5185537583254,828.87,910.61,1119.52,1174.92,39.573991031390136,38.70601589103292,36.68449197860963,36.63177925784967
5601,Tuscia,194.01339627455985,266.92215568862275,276.6063895399038,304.1666666666667,1009.62,1035.52,1030.17,1079.6,2.653738198520031,2.470059880239521,2.6890341680029604,3.2253919300950917
5801,Roma La Sapienza,257.4680401002506,325.2780898876405,401.9737710803722,435.2107185640502,1171.23,1163.56,1245.44,1239.39,5.324310776942356,5.863016973464021,6.789600183502707,7.491997407749259
5802,Roma Tor Vergata,251.5280342341128,283.80192893401016,330.0895590187994,371.0507907979871,1335.72,1328.81,1439.5,1437.7,5.256418896152032,5.756345177664975,6.8418477881053885,7.92235801581596
5803,Roma LUMSA,171.5734444066644,187.5448717948718,203.4316610530048,271.0976971388695,4032.82,4105.36,4408.13,4581.32,4.896293777626657,4.861111111111111,4.183655380251729,4.117236566643405
5805,Roma LUISS,136.37999014292754,159.3147635524798,175.04013266998342,200.85583548664945,8793.34,9131.81,9612.33,9768.25,1.6510596352883191,1.718569780853518,1.75787728026534,2.723944875107666
5806,Roma Foro Italico,212.67294751009425,319.0455788514129,294.65685372585097,315.46034725481,1003.78,1033.47,1107.52,1122.66,2.1982951996410947,2.051048313582497,2.437902483900644,2.5340215861098074
5807,Roma Tre,178.2862656139524,216.7814379568798,250.98551178145632,238.591337220478,1023.31,979.5,1053.6,1069.41,4.251119490926231,4.4569877548502514,4.687548893826079,4.86320240917537
5808,Roma Biomedico,155.11190476190475,107.02675386444707,124.23245367770916,104.21998913633897,7319.6,7395.11,7395.63,7318.42,0.5952380952380952,0.6539833531510107,0.673778775968557,0.7061379684953829
5809,Roma UNINT,284.0868945868946,400.3454142011834,462.8771121351767,484.9167208848406,4442.31,5051.74,5388.22,5524.58,3.8461538461538463,4.955621301775148,4.838709677419355,3.968770331815224
5812,Roma Europea,,48.02619047619048,74.61952191235059,81.31935483870967,,5177.29,4964.65,4697.26,,2.261904761904762,1.6932270916334662,1.935483870967742
5817,Roma Link Campus,,,1.353411513859275,3.085451595457004,,,3615.1,3832.63,,,1.9722814498933905,2.271498107084911
5818,Roma Saint Camillus,,,,917.97,,,,8040.76,,,,27.5
6001,Cassino,534.5102171136654,656.7241742334518,641.8850352355948,727.7068824809576,805.08,902.17,1206.83,1243.45,3.0395913154533845,3.6188972233188577,5.181705126433605,6.692056583242655
6201,Sannio,205.27699872518667,215.9359396167989,221.71729696218227,342.1525350593312,1059.19,1073.83,1005.84,979.95,0.5281369513749772,0.4838397522740468,0.7439553626782393,0.8845738942826321
6301,Napoli Federico II,147.35800505406826,182.6165863819815,188.83034136359407,387.6534248224389,941.01,945.63,1354.56,1223.21,0.4964275177341354,0.5858612159875016,0.6471158829079022,0.7704345732514747
6302,Napoli Parthenope,144.8534414127524,159.46070961286847,175.32699619771864,416.13601549432167,728.88,921.88,989.98,975.82,0.5428095823984946,0.59262679904564,0.7025954703256737,0.677876573642046
6303,Napoli L'Orientale,141.77734082397004,130.70553323593865,181.457672429157,674.0478861087145,947.51,937.8,724.45,890.33,3.4363295880149813,3.3966398831263698,3.858492247371235,3.891285591026747
6304,Napoli Benincasa,160.4255319148936,166.02768208661416,205.2027503955215,497.98778275069554,2393.99,2526.14,2745.22,2828.88,0.4824344383968332,0.639763779527559,0.6084945843981988,0.4475625982823273
6306,Napoli Vanvitelli,137.9707254985151,106.73907738329528,233.31695689063068,435.5149753200034,1391.51,1377.62,1600.66,1723.24,0.7019709183476684,0.8620011021018656,1.0666235707648175,1.29256253660169
6501,Salerno,261.8712905254732,287.63391594547204,546.2756914774005,612.425916496945,923.18,881.44,986.75,1027.14,0.7833495339927955,0.8710899937779286,0.9107263323588936,1.1512785698121748
6601,L'Aquila,258.17974306665934,357.1644189046558,316.2741338922451,338.43124685771744,675.78,716.48,875.34,789.92,2.988366322986161,3.230913568664243,3.4829244236222414,3.469079939668175
6701,Teramo,310.34048733258027,368.1846632803539,432.91752049180326,467.9543891402715,1158.3,1105.96,1334.72,1266.34,1.8880103275778604,1.753236113386859,1.758879781420765,2.20814479638009
6901,Chieti e Pescara,417.4582233266035,453.1798027581783,384.5192760629726,444.6890053240936,929.09,965.79,802.27,678.51,1.980121136822488,2.080660679923028,2.2519730589645057,2.332460069297727
7001,Molise,238.3581187976413,293.7647058823529,280.1965762367619,429.0734537975613,1223.07,1137.44,1159.93,1110.0,0.9204659859053644,0.8650519031141869,1.102567822428551,1.3956221536653446
7101,Foggia,383.4380192037976,533.2535038363171,737.3764717425431,702.721417535728,977.39,1007.91,1060.66,1048.29,0.9817671809256662,0.9207161125319692,0.9909733124018838,1.1394360757049051
7201,Bari,372.1140315058778,511.88611048478015,681.9307358307543,702.2443747953408,1018.62,1034.37,1039.23,1100.0,1.4699877501020824,1.4746335963923336,1.545106009515451,1.4992749216447585
7202,Bari Politecnico,287.4672725416113,411.6277334438802,517.2429025315158,518.2436615415945,688.22,828.4,1243.68,1115.42,0.8679669151434698,0.9327391439527412,1.065901404120119,1.1913247123510844
7203,Casamassima - G.Degennaro,24.940986257073565,41.80614484272129,73.82421120412106,111.46870838881492,3704.44,3702.88,3694.65,4182.97,0.4042037186742118,0.4389173372348208,0.4507405022537025,0.3994673768308921
7501,Salento,501.18351001177854,692.5778742912294,842.0610145014742,736.3212438278862,932.51,968.87,816.14,760.6,0.7538280329799765,0.9168777898419592,1.0229255671219688,0.9640253938396426
7601,Basilicata,354.0819033886085,637.9718330849479,483.8447516329941,544.9571517606731,612.15,775.23,1155.55,1061.19,0.6344628695025234,0.819672131147541,0.7595321282090233,0.4985976939856653
7801,Calabria,266.1957252466204,538.4760227783605,970.5045262754124,885.1936783879889,782.8,846.53,976.04,939.98,2.137376689806357,2.401468604825416,2.915228231683928,3.1054919004346107
7901,Catanzaro,63.10404846619867,217.27715500579825,328.4896668868548,753.2222840708786,687.07,687.26,1008.35,1036.77,0.8270025964035004,0.8987243911867028,1.056902897046334,1.1874942016884684
8001,Reggio Calabria,216.4482373584304,244.57216142270863,341.2413662239089,564.3930307941653,973.68,998.6,1039.26,1162.78,0.6540118041154889,0.9233926128590972,1.0056925996204933,1.3371150729335497
8003,Reggio Calabria - Dante Alighieri,287.01763485477176,280.3431269674712,306.3193960511033,578.3290653008963,631.95,607.52,629.24,603.73,7.883817427385892,17.313746065057714,18.118466898954704,18.693982074263765
8201,Palermo,354.5330347144457,326.26820817955866,199.1227838119706,402.44503573057625,919.99,971.79,1155.97,1189.41,0.6843349508523081,0.6753533679797143,0.8139801083611019,1.02123561907658
8301,Messina,183.10637938318547,210.08435421771088,531.5107989004756,313.670958830868,1022.82,1107.77,1262.84,1246.6,1.0604140261934938,1.0850542527126357,1.4573061651904533,1.8757797184102656
8601,Enna KORE,267.6002763862498,349.40932172651435,307.63380281690144,314.445043550394,2760.04,2893.28,3034.75,3089.71,0.3973052340646053,0.417120058034095,0.4244645957939417,0.3732890916632103
8701,Catania,201.50821325325504,298.52902432802244,199.71343996180477,232.1406535881277,741.29,896.43,770.19,791.2,0.5736951796158931,0.6192165866555347,0.6660300787777512,0.7699735718642
9001,Sassari,454.255196212182,698.0443150950717,695.193735233595,988.096140774866,879.94,890.09,863.49,906.92,1.5729074713104887,1.7306946061311603,1.7681579147930797,2.0844347103693077
9201,Cagliari,692.8505755889304,805.1514510045416,539.9236547174311,1067.222512773062,795.16,801.5,900.99,1013.66,0.8995959441945567,0.9314140558848434,1.037278435736428,1.287363720481152
