Tavola 6 - Popolazione residente, popolazione universitaria (valori assoluti) e quartili delle distanze tra luogo di residenza e comune sede di Ateneo  - Città universitarie. Dicembre 2017;;;;;;;;;;;
;;;;;;;;;;;
Dati di base ;;;;;Popolazione universitaria;;;;;;
Codice Istat comune sede di Ateneo;Denominazione ;Denominazione comune sede di Ateneo;Popolazione residente anagrafica 01/01/2018;;Studenti universitari iscritti nel comune sede di Ateneo (*);Studenti universitari con mobilità all'interno del proprio comune ;Mobilità in entrata da altro comune;;;;Studenti universitari con mobilità in uscita dal proprio comune
;;;;;;;Studenti universitari;Quartili delle distanze tra origine e destinazione (in km);;;
;;;;;;;;;;;
;;;;;;;;Q1 ;Q2;Q3;
071024;UNIVERSITÀ DEGLI STUDI DI FOGGIA;Foggia;151.372;;7.967;2.070;5.897;29,72;37,41;63,65;2.264
072006;"UNIVERSITÀ DEGLI STUDI DI BARI ""ALDO MORO"";
POLITECNICO DI BARI";Bari;323.370;;38.909;6.274;32.613;25,65;42,58;68,73;1.998
072015;"UNIVERSITÀ MEDITERRANEA ""JEAN MONNET""";Casamassima;19.777;;1.139;26;1.113;19,48;25,60;55,23;368
075035;UNIVERSITÀ DEGLI STUDI DEL SALENTO;Lecce;95.441;;13.084;1.296;11.785;17,76;34,68;47,53;1.481
076063;UNIVERSITÀ DEGLI STUDI DELLA BASILICATA;Potenza;67.211;;4.425;1.000;3.425;20,67;33,92;59,33;1.661
078102;UNIVERSITÀ DELLA CALABRIA;Rende;35.727;;22.729;1.546;21.168;23,32;51,52;77,14;598
079023;"UNIVERSITÀ DEGLI STUDI ""MAGNA GRAECIA"" DI CATANZARO";Catanzaro;89.718;;8.699;1.529;7.168;25,17;50,07;72,06;1.767
080063;"UNIVERSITÀ PER STRANIERI ""DANTE ALIGHIERI"" DI REGGIO CALABRIA;                                                                                            UNIVERSITÀ DEGLI STUDI ""MEDITERRANEA"" DI REGGIO CALABRIA";Reggio di Calabria;181.447;;5.175;2.140;3.033;24,42;43,65;71,05;4.370
082053;UNIVERSITÀ DEGLI STUDI DI PALERMO;Palermo;668.405;;35.038;14.063;20.967;22,65;56,57;83,35;3.915
083048;UNIVERSITÀ DEGLI STUDI DI MESSINA;Messina;234.293;;19.739;5.330;14.406;26,29;47,72;86,48;1.683
086009;"LIBERA UNIVERSITÀ DELLA SICILIA CENTRALE ""KORE"" SEDE ENNA";Enna;27.243;;4.620;281;4.339;29,71;56,87;80,35;650
087015;UNIVERSITÀ DEGLI STUDI DI CATANIA;Catania;311.620;;34.629;5.721;28.904;13,86;35,43;66,33;1.817
090064;UNIVERSITÀ DEGLI STUDI DI SASSARI;Sassari;126.769;;8.732;2.379;6.348;18,15;40,29;79,16;1.000
092009;UNIVERSITÀ DEGLI STUDI DI CAGLIARI;Cagliari;154.106;;20.090;3.625;16.459;7,06;12,77;98,64;942
;;Totale;13.284.908;;1.189.977;254.056;930.903;;;;86.626
"Nota: per le elaborazioni relative a questa Tavola non sono stati considerati: 1) gli Atenei Telematici (Undici Atenei riconosciuti dal Miur); 2) gli studenti lavoratori (classificati come lavoratori nella base dati)  ";;;;;;;;;;;
(*) Nel totale della popolazione insistente sono inclusi anche individui il cui comune di origine non rientra nella classificazione ufficiale Istat dei Comuni Italiani;;;;;;;;;;;
