Tavola 6 - Popolazione residente, popolazione universitaria (valori assoluti) e quartili delle distanze tra luogo di residenza e comune sede di Ateneo  - Città universitarie. Dicembre 2016;;;;;;;;;;;
;;;;;;;;;;;
Dati di base ;;;;;Popolazione universitaria;;;;;;
Codice Istat comune sede di Ateneo;Denominazione ;Denominazione comune sede di Ateneo;Popolazione residente anagrafica 01/01/2017;;Studenti universitari iscritti nel comune sede di Ateneo (*);Studenti universitari con mobilità all'interno del proprio comune ;Mobilità in entrata da altro comune;;;;Studenti universitari con mobilità in uscita dal proprio comune
;;;;;;;Studenti universitari;Quartili delle distanze tra origine e destinazione (in km);;;
;;;;;;;;;;;
;;;;;;;;Q1 ;Q2;Q3;
075035;UNIVERSITÀ DEGLI STUDI DEL SALENTO;Lecce;94.989;;13.863;1.352;12.497;17,93;34,68;47,59;1.581
076063;UNIVERSITÀ DEGLI STUDI DELLA BASILICATA;Potenza;67.168;;4.701;1.045;3.630;20,67;33,92;58,38;1.726
078102;UNIVERSITÀ DELLA CALABRIA;Rende;35.475;;24.065;1.611;22.428;21,05;47,64;75,95;576
079023;"UNIVERSITÀ DEGLI STUDI ""MAGNA GRAECIA"" DI CATANZARO";Catanzaro;90.240;;8.662;1.566;7.086;25,17;48,27;70,94;1.847
080063;"UNIVERSITÀ PER STRANIERI ""DANTE ALIGHIERI"" DI REGGIO CALABRIA;                                                                                            UNIVERSITÀ DEGLI STUDI ""MEDITERRANEA"" DI REGGIO CALABRIA";Reggio di Calabria;182.551;;5.808;2.325;3.467;24,42;43,50;71,05;4.414
082053;UNIVERSITÀ DEGLI STUDI DI PALERMO;Palermo;673.735;;35.563;14.410;21.108;20,77;56,40;83,35;3.897
083048;UNIVERSITÀ DEGLI STUDI DI MESSINA;Messina;236.962;;19.825;5.426;14.365;26,29;44,45;82,27;1.639
086009;"LIBERA UNIVERSITÀ DELLA SICILIA CENTRALE ""KORE"" SEDE ENNA";Enna;27.586;;5.005;311;4.693;29,71;59,28;81,95;663
087015;UNIVERSITÀ DEGLI STUDI DI CATANIA;Catania;313.396;;36.319;6.051;30.237;13,86;35,81;66,33;1.771
090064;UNIVERSITÀ DEGLI STUDI DI SASSARI;Sassari;127.533;;9.255;2.583;6.645;18,15;40,29;79,16;1.038
092009;UNIVERSITÀ DEGLI STUDI DI CAGLIARI;Cagliari;154.083;;21.638;3.874;17.748;7,06;16,11;97,86;875
;;Totale;13.296.281;;1.237.389;261.697;968.600;;;;87.356
;;;;;;;;;;;
"Nota: per le elaborazioni relative a questa Tavola non sono stati considerati: 1) gli Atenei Telematici (Undici Atenei riconosciuti dal Miur); 2) gli studenti lavoratori (classificati come lavoratori nella base dati)  ";;;;;;;;;;;
(*) Nel totale della popolazione insistente sono inclusi anche individui il cui comune di origine non rientra nella classificazione ufficiale Istat dei Comuni Italiani;;;;;;;;;;;
