_id,AnnoA,AteneoCOD,AteneoNOME,Isc_S
197,2019/2020,1505,Milano IULM,305
198,2019/2020,1508,Milano San Raffaele,178
199,2019/2020,1509,Milano Bicocca,1875
200,2019/2020,1510,Rozzano (MI) Humanitas University,299
201,2019/2020,1601,Bergamo,1441
202,2019/2020,1701,Brescia,1041
203,2019/2020,1801,Pavia,2210
204,2019/2020,2101,Bolzano,528
205,2019/2020,2201,Trento,758
206,2019/2020,2301,Verona,1073
207,2019/2020,2701,Venezia Cà Foscari,1556
208,2019/2020,2702,Venezia Iuav,308
209,2019/2020,2801,Padova,3274
210,2019/2020,3001,Udine,744
211,2019/2020,3201,Trieste,1096
212,2019/2020,3401,Parma,1774
213,2019/2020,3601,Modena e Reggio Emilia,1423
214,2019/2020,3701,Bologna,7270
215,2019/2020,3801,Ferrara,1111
216,2019/2020,4101,Urbino,819
217,2019/2020,4201,Marche,769
218,2019/2020,4301,Macerata,468
219,2019/2020,4302,Camerino,631
220,2019/2020,4801,Firenze,4024
221,2019/2020,4804,Firenze IUL - telematica,5
222,2019/2020,5001,Pisa,1873
223,2019/2020,5201,Siena,1331
224,2019/2020,5202,Siena Stranieri,249
225,2019/2020,5401,Perugia,1441
226,2019/2020,5403,Perugia Stranieri,395
227,2019/2020,5601,Tuscia,244
228,2019/2020,5801,Roma La Sapienza,8339
229,2019/2020,5802,Roma Tor Vergata,2359
230,2019/2020,5803,Roma LUMSA,233
231,2019/2020,5805,Roma LUISS,326
232,2019/2020,5806,Roma Foro Italico,47
233,2019/2020,5807,Roma Tre,1508
234,2019/2020,5808,Roma Biomedico,14
235,2019/2020,5809,Roma UNINT,82
236,2019/2020,5810,Roma Marconi - telematica,198
237,2019/2020,5811,Roma UNITELMA - telematica,52
238,2019/2020,5812,Roma Europea,28
239,2019/2020,5813,Roma UNINETTUNO - telematica,806
240,2019/2020,5814,Roma  Mercatorum - telematica,155
241,2019/2020,5815,Roma UNICUSANO - telematica,530
242,2019/2020,5816,Roma San Raffaele - telematica,73
243,2019/2020,5817,Roma Link Campus,40
244,2019/2020,5818,Roma Saint Camillus,162
245,2019/2020,6001,Cassino,611
246,2019/2020,6201,Sannio,36
247,2019/2020,6202,Benevento Giustino Fortunato - telematica,25
248,2019/2020,6301,Napoli Federico II,633
249,2019/2020,6302,Napoli Parthenope,92
250,2019/2020,6303,Napoli L'Orientale,452
251,2019/2020,6304,Napoli Benincasa,42
252,2019/2020,6306,Napoli Vanvitelli,357
253,2019/2020,6307,Napoli Pegaso - telematica,469
254,2019/2020,6501,Salerno,454
255,2019/2020,6601,L'Aquila,569
256,2019/2020,6701,Teramo,118
257,2019/2020,6901,Chieti e Pescara,572
258,2019/2020,7001,Molise,88
259,2019/2020,7101,Foggia,129
260,2019/2020,7201,Bari,680
261,2019/2020,7202,Bari Politecnico,119
262,2019/2020,7203,Casamassima - G.Degennaro,8
263,2019/2020,7501,Salento,205
264,2019/2020,7601,Basilicata,37
265,2019/2020,7801,Calabria,778
266,2019/2020,7901,Catanzaro,152
267,2019/2020,8001,Reggio Calabria,95
268,2019/2020,8003,Reggio Calabria - Dante Alighieri,140
269,2019/2020,8201,Palermo,451
270,2019/2020,8301,Messina,493
271,2019/2020,8601,Enna KORE,25
272,2019/2020,8701,Catania,373
273,2019/2020,9001,Sassari,277
274,2019/2020,9201,Cagliari,353
275,2018/2019,101,Torino,4493
276,2018/2019,102,Torino Politecnico,4410
277,2018/2019,201,Piemonte Orientale,907
278,2018/2019,401,Bra Scienze Gastronomiche,101
279,2018/2019,701,Aosta,68
280,2018/2019,1001,Genova,2824
281,2018/2019,1201,Castellanza LIUC,33
282,2018/2019,1202,Insubria,647
283,2018/2019,1301,Novedrate e-Campus - telematica,434
284,2018/2019,1501,Milano,4121
285,2018/2019,1502,Milano Politecnico,6863
